query,query_sha,filename,fea1,fea2,fea3,fea4,fea5,fea6,fea7,fea8,fea9,fea10,fea11,fea12,fea13,fea14,fea15,fea16,fea17,fea18,fea19,fea20,fea21,fea22,fea23,fea24,fea25,fea26,fea27,fea28,fea29,fea30,fea31,fea32,fea33,fea34,fea35,fea36,fea37,fea38,fea39,fea40,fea41,similarity,label
Skype and Twitter are all banned in China. hoax,005d445fa9e87175d8b3ed8d6dbca5be401f368b2fefae9bb31a4a45dd669798,9.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.189832,unrelated
Skype and Twitter are all banned in China. hoax,005d445fa9e87175d8b3ed8d6dbca5be401f368b2fefae9bb31a4a45dd669798,7.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0.24877,unrelated
Skype and Twitter are all banned in China. hoax,005d445fa9e87175d8b3ed8d6dbca5be401f368b2fefae9bb31a4a45dd669798,6.txt,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0.967294,fact
Skype and Twitter are all banned in China. hoax,005d445fa9e87175d8b3ed8d6dbca5be401f368b2fefae9bb31a4a45dd669798,8.txt,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,1,0,0.126045,unrelated
Skype and Twitter are all banned in China. hoax,005d445fa9e87175d8b3ed8d6dbca5be401f368b2fefae9bb31a4a45dd669798,4.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0.25787,unrelated
Skype and Twitter are all banned in China. hoax,005d445fa9e87175d8b3ed8d6dbca5be401f368b2fefae9bb31a4a45dd669798,2.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0512312,fact
Skype and Twitter are all banned in China. hoax,005d445fa9e87175d8b3ed8d6dbca5be401f368b2fefae9bb31a4a45dd669798,5.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445569,fact
Skype and Twitter are all banned in China. hoax,005d445fa9e87175d8b3ed8d6dbca5be401f368b2fefae9bb31a4a45dd669798,1.txt,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.468259,fact
A lion's roar can be heard from 5 miles away! hoax,045972b7662731daba8bad2299c10cb4db8cbec10336df10d66481455261c2b3,6.txt,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21044,unrelated
A lion's roar can be heard from 5 miles away! hoax,045972b7662731daba8bad2299c10cb4db8cbec10336df10d66481455261c2b3,8.txt,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.138211,unrelated
A lion's roar can be heard from 5 miles away! hoax,045972b7662731daba8bad2299c10cb4db8cbec10336df10d66481455261c2b3,2.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.765271,fact
A lion's roar can be heard from 5 miles away! hoax,045972b7662731daba8bad2299c10cb4db8cbec10336df10d66481455261c2b3,5.txt,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.659112,fact
A lion's roar can be heard from 5 miles away! hoax,045972b7662731daba8bad2299c10cb4db8cbec10336df10d66481455261c2b3,1.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0712739,fact
Cherophobia is the fear of fun hoax,058d9d44035fb3718dd79e432d269af407ed1f35e603baf10aebab7883b68413,9.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115818,unrelated
Cherophobia is the fear of fun hoax,058d9d44035fb3718dd79e432d269af407ed1f35e603baf10aebab7883b68413,7.txt,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.189225,fact
Cherophobia is the fear of fun hoax,058d9d44035fb3718dd79e432d269af407ed1f35e603baf10aebab7883b68413,6.txt,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403519,fact
Cherophobia is the fear of fun hoax,058d9d44035fb3718dd79e432d269af407ed1f35e603baf10aebab7883b68413,8.txt,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.226042,fact
Cherophobia is the fear of fun hoax,058d9d44035fb3718dd79e432d269af407ed1f35e603baf10aebab7883b68413,4.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.212665,fact
Cherophobia is the fear of fun hoax,058d9d44035fb3718dd79e432d269af407ed1f35e603baf10aebab7883b68413,2.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101415,unrelated
Cherophobia is the fear of fun hoax,058d9d44035fb3718dd79e432d269af407ed1f35e603baf10aebab7883b68413,5.txt,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00440346,unrelated
Cherophobia is the fear of fun hoax,058d9d44035fb3718dd79e432d269af407ed1f35e603baf10aebab7883b68413,1.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.960603,fact
Cherophobia is the fear of fun hoax,058d9d44035fb3718dd79e432d269af407ed1f35e603baf10aebab7883b68413,0.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191209,unrelated
Sherry Shepperd Die hoax,08340407fb0db6624b6f8188d20ae3b37ab4f8b9973dcd15b387f18a2ef66a57,9.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00560624,unrelated
Sherry Shepperd Die hoax,08340407fb0db6624b6f8188d20ae3b37ab4f8b9973dcd15b387f18a2ef66a57,3.txt,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131656,hoax
